1	"愛着障害っぽい人は何歳になってもこれ繰り返す。
札幌市西区で自律神経を見る仕事をしてますが、感情をぶつける相手に一生ならん人がいる。
話すなら、問題解決能力があるか共感性があるか、どっちかを持ってる人にしてくれ。
両方無い人に何回説明しても、こっちが削れて終わる。
なぜか親に共感してもらえなかった人に限って
親に期待して再度傷つけられてる。
「何？どうしてほしいの？」って言われるだけ。
私のトラウマ除去依頼者、こういう人は多い。"	2026/08/17	7	4
2	"完璧になるまで様子見や準備してる人。
札幌市西区で自律神経を見る仕事をしてますが、準備中に状況は悪くなってる。
様子見してる限り、人生は変わらん。
学生なら退学になるし休職中の人なら貯金が減るジリ貧。
こういう時カッコつけたもっともらしい言い訳がMAX嫌われる。
私はこのような時素直にビビっている旨を伝える。
不完全なまま来て、私が味方よ！"	2026/08/17	14	5
3	"一番良くないのは我が身可愛さと損得計算のミス。
札幌市西区で自律神経を見る仕事をしてますが、失敗した時のダメージが大した事なくても挑まない人が多い。
いいなと思ったなら行くの、恋愛なら誰かに取られちゃうでしょ。
誰かに取られた時なんか悔しがろうよ。
しょうがないとか言わないで。
自律神経何とかし始めるのなんか、気になる異性に話しかけるより確実に楽だから。"	2026/08/17	14	59
4	"完璧に準備してから始めた筋トレが、1日で飽きる事もある。
札幌市西区で自律神経を見る仕事をしてますが、準備の完成度と続くかどうかなんて関係ない。
念入りに整えてから来ても、続くとは限らない。
逆に、「決断力が」と等身大の弱々コメントは共感する。
不完全なまま、早く動いてくれ。
続くかどうかは、そこから先の話。"	2026/08/17	15	53
5	"「外で我が家の話を出すな」
札幌市西区で自律神経を見る仕事をしてますが、学校で虐待を疑われた親子の話。
学校から呼び出されるも
外から見た体裁を守るのに必死。
教員に何か言われるが白を切って帰りの車中で激怒。
何回聞いたか思い出せないくらいの顧客層。
こういう人のメンタルを救うために私はこの仕事をしている。
DMは誰にも見られません。ここで出してくれ。"	2026/08/17	16	47
6	"母親と赤ん坊
立場は母が上です。親が生命支えてるから。
でも合わせてるのは母の方。
札幌市西区で自律神経を見てますが
削られるのは高確率で合わせる側になる。
大人同士なら気の強い方が上、部下でも。
個人的には心理的上座と呼んでいる。
この場合、上座の方が基本生きづらい。
振り回される中間管理職のようだ。"	2026/08/17	17	41
7	"仕事から帰って、そのままグダグダしてる時間。
札幌市西区で自律神経を見る仕事をしてますが、あれが消えるかどうかで判断してます。
倦怠感は数字で測れない。
だから帰宅した後どうなってるかを聞くようにしてる。
朝が冴えないなら朝を指標に。
グダグダが減ってきたら、当たってるという事。
早い人は2回でここが変わります。
トラウマ持ちじゃない、細胞が劣化してる場合だと3週間で倦怠感が減り始める事が多い。
風呂キャンレベルの人、DMください。"	2026/08/17	18	35
8	"何がきっかけで来るか。
札幌市西区で自律神経を見る仕事をしてますが、こんな怪しい人に依頼が来る理由。
・病院で異常なしと言われて、行く所が無くなった
・トラウマ消す方法を探し求めた人
・子どもに当たってしまって、これはまずいと思った
・仕事を休む事になったが、休んでも戻らなかった
・スレッズを何ヶ月か見てから、やっと送ってきた
・占い好き
noteみたいな物販と違って緊張するよな、凄いことだよ。
上記該当の人、DMください。"	2026/08/17	19	29
